Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro_XL
1,"Google Pixel 9 Pro XL 5G 6.8""  Fully Unlocked (Any Carrier) SmartPhone Good",$599.99,2025-09-28,https://www.ebay.com/itm/205339150424,https://i.ebayimg.com/images/g/Tq0AAOSwRYxnfg5O/s-l500.webp,Unknown,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Porcelain - 128GB - Very Good,$599.00,2025-09-27,https://www.ebay.com/itm/276964665224,https://i.ebayimg.com/images/g/2TcAAOSwbLNnxiJQ/s-l500.webp,128 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Obsidian Unlocked Excellent Condition,$689.99,2025-09-26,https://www.ebay.com/itm/296958199994,https://i.ebayimg.com/images/g/F8oAAOSwLu5nEAuD/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 512GB Porcelain Unlocked Good Condition,$739.99,2025-09-24,https://www.ebay.com/itm/297590339977,https://i.ebayimg.com/images/g/kb8AAeSwkBdo3qqb/s-l500.webp,512 GB,Good,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL 128GB Unlocked 6.8"" 5G Dual SIM Hazel Gray GA05902-US",$619.99,2025-07-07,https://www.ebay.com/itm/205519293888,https://i.ebayimg.com/images/g/2jEAAOSwj11nKT1x/s-l500.webp,128 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 512GB Porcelain Unlocked Excellent Condition,$779.99,2025-09-23,https://www.ebay.com/itm/277245298692,https://i.ebayimg.com/images/g/xWQAAeSwqFJnzwyi/s-l500.webp,512 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Hazel Unlocked Good Condition,$599.99,2025-09-21,https://www.ebay.com/itm/277171085401,https://i.ebayimg.com/images/g/-PYAAeSwujRo-QSk/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL Unlocked All Colors/Memory - Very Good,$669.99,2025-09-21,https://www.ebay.com/itm/127297372836,https://i.ebayimg.com/images/g/9ZIAAOSwOC9n0LGR/s-l500.webp,Unknown,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Porcelain - 128GB - Excellent,$639.00,2025-09-20,https://www.ebay.com/itm/286268254904,https://i.ebayimg.com/images/g/2TcAAOSwbLNnxiJQ/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL Unlocked All Colors/Memory - Excellent,$649.99,2025-09-19,https://www.ebay.com/itm/126988314223,https://i.ebayimg.com/images/g/9ZIAAOSwOC9n0LGR/s-l500.webp,Unknown,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Obsidian - 256GB - Good,$619.00,2025-09-17,https://www.ebay.com/itm/276818862835,https://i.ebayimg.com/images/g/aEUAAOSwA9ZnfCEn/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 512GB Hazel Unlocked Excellent Condition,$779.99,2025-09-12,https://www.ebay.com/itm/286401540544,https://i.ebayimg.com/images/g/~q0AAeSwcSdn0HPd/s-l500.webp,512 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Obsidian - 128GB - Excellent,$629.00,2025-09-12,https://www.ebay.com/itm/286292223328,https://i.ebayimg.com/images/g/aEUAAOSwA9ZnfCEn/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Porcelain - 256GB - Excellent,$719.00,2025-09-12,https://www.ebay.com/itm/277243670232,https://i.ebayimg.com/images/g/2TcAAOSwbLNnxiJQ/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 256GB Obsidian Unlocked Very Good Condition,$609.99,2025-09-10,https://www.ebay.com/itm/356849329934,https://i.ebayimg.com/images/g/MbsAAeSwAoxoE9qK/s-l500.webp,256 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 256GB Haze Unlocked Very Good Condition,$609.99,2025-09-04,https://www.ebay.com/itm/356849332575,https://i.ebayimg.com/images/g/dSgAAeSwUb1oE9t0/s-l500.webp,256 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 256GB Porcelain Unlocked Very Good Condition,$609.99,2025-08-20,https://www.ebay.com/itm/356849334825,https://i.ebayimg.com/images/g/jigAAeSw6lloE9uE/s-l500.webp,256 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 256GB Obsidian Unlocked Good Condition,$599.99,2025-09-02,https://www.ebay.com/itm/356849429761,https://i.ebayimg.com/images/g/GQ4AAeSwhrJoE-t8/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 256GB Haze Unlocked Good Condition,$685.42,2025-08-26,https://www.ebay.com/itm/356849431181,https://i.ebayimg.com/images/g/F7cAAeSwE0loE-w2/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 256GB Porcelain Unlocked Good Condition,$589.99,2025-09-09,https://www.ebay.com/itm/356849433977,https://i.ebayimg.com/images/g/uRcAAeSwM81oE-wu/s-l500.webp,256 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 512GB Obsidian Unlocked Good Condition,$809.02,2025-08-21,https://www.ebay.com/itm/356849438906,https://i.ebayimg.com/images/g/bjcAAeSwjC9oE-yd/s-l500.webp,512 GB,Good,False,Pixel 9 Pro XL,True
