Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6_Pro
1,Google Pixel 6 Pro - 128GB 256GB 512GB - All Colors - Very Good Condition,$179.00,2025-09-16,https://www.ebay.com/itm/276455783478,https://i.ebayimg.com/images/g/LLIAAOSwGypmOmwp/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 128GB Stormy Black White Sorta Sunny (OEM Unlocked) - Good,$228.99,2025-09-15,https://www.ebay.com/itm/276171603970,https://i.ebayimg.com/images/g/9bUAAOSwPz5kh323/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 512GB - Stormy Black - Factory Unlocked - Very Good + More,$229.99,2025-09-11,https://www.ebay.com/itm/326766238426,https://i.ebayimg.com/images/g/hJQAAOSwKoZn-XNc/s-l500.webp,512 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 256GB - Stormy Black - Factory Unlocked - Good + More,$199.99,2025-09-10,https://www.ebay.com/itm/326766280044,https://i.ebayimg.com/images/g/hJQAAOSwKoZn-XNc/s-l500.webp,256 GB,Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 256GB - Cloudy White - Network Unlocked - Very Good + More,$199.99,2025-09-11,https://www.ebay.com/itm/197684291575,https://i.ebayimg.com/images/g/-k8AAeSwhLlowFbv/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 128GB - Sunny Orange - Factory Unlocked - Good + More,$169.99,2025-09-10,https://www.ebay.com/itm/205717002849,https://i.ebayimg.com/images/g/NWwAAeSwPhpowFvC/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 256GB (Unlocked) - Cloudy White,$159.95,2025-09-10,https://www.ebay.com/itm/146670212761,https://i.ebayimg.com/images/g/Ih8AAeSw9AJowd6Y/s-l500.webp,256 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro - 512GB Stormy Black *UNLOCKED* [G8V0U] Very Good,$241.99,2025-09-03,https://www.ebay.com/itm/146491475691,https://i.ebayimg.com/images/g/hB8AAOSwsJJlS87d/s-l500.webp,512 GB,Very Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro G8V0U 128GB CDMA/GSM Unlocked Smartphone - Excellent,$242.10,2025-09-03,https://www.ebay.com/itm/257046087979,https://i.ebayimg.com/images/g/IL4AAOSwKsljZUHW/s-l500.webp,128 GB,Excellent,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 256GB (Unlocked) - Cloudy White,$169.95,2025-09-02,https://www.ebay.com/itm/146641628565,https://i.ebayimg.com/images/g/btkAAeSwb95ot2-U/s-l500.webp,256 GB,Unknown,False,Pixel 6 Pro,True
2,"Google Pixel 6 Pro 5G 6.71""  Fully Unlocked (Any Carrier) SmartPhone Very Good",$169.99,2025-09-01,https://www.ebay.com/itm/325940671045,https://i.ebayimg.com/images/g/IPkAAOSwNOBikAyt/s-l500.webp,Unknown,Very Good,False,Pixel 6 Pro,True
2,"Google Pixel 6 Pro G8V0U 128GB Unlocked Smartphone, Very Good",$213.03,2025-08-28,https://www.ebay.com/itm/256796714316,https://i.ebayimg.com/images/g/IL4AAOSwKsljZUHW/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB Black Unlocked Good Condition,$189.99,2025-08-27,https://www.ebay.com/itm/284618678940,https://i.ebayimg.com/images/g/NkkAAOSwguhlSTmK/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
2,Google Pixel 6 PRO 5G Android Unlocked Smartphone 256GB - Very Good,$219.99,2025-08-25,https://www.ebay.com/itm/197187863762,https://i.ebayimg.com/images/g/-ZAAAOSwNlVk1R1U/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 5G G8V0U Unlocked 128GB 256GB 512GB Good,$187.99,2025-08-24,https://www.ebay.com/itm/186371863876,https://i.ebayimg.com/images/g/bbkAAOSw-kFl-dAh/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 256GB (Unlocked) - Cloudy White,$219.98,2025-08-20,https://www.ebay.com/itm/146599114694,https://i.ebayimg.com/images/g/MQAAAeSwbIdopeoH/s-l500.webp,256 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB White Unlocked Good Condition,$149.99,2025-08-16,https://www.ebay.com/itm/277213084061,https://i.ebayimg.com/images/g/qt4AAeSwcb9oyvoy/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro - 128GB Cloudy White *UNLOCKED* [G8V0U] Excellent Refurbished,$196.99,2025-08-13,https://www.ebay.com/itm/145555777750,https://i.ebayimg.com/images/g/ux0AAOSwkChk74mb/s-l500.webp,128 GB,Excellent,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB (Unlocked) - Stormy Black,$164.98,2025-08-12,https://www.ebay.com/itm/365521206124,https://i.ebayimg.com/images/g/5MMAAeSwtHRozHIt/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro (6.7-inch) Smartphone (G8VOU) Unlocked - 128GB/Cloudy White,$198.99,2025-08-12,https://www.ebay.com/itm/146716368704,https://i.ebayimg.com/images/g/PE4AAeSwpbdofoD9/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB (Unlocked) - Sorta Sunny,$199.95,2025-08-11,https://www.ebay.com/itm/316851203612,https://i.ebayimg.com/images/g/qCUAAeSw6NRovKG7/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro GLUOG 128GB 12GB Unlocked Black Good Condition,$182.95,2025-08-10,https://www.ebay.com/itm/406112047316,https://i.ebayimg.com/images/g/6skAAeSwN-ZoYU6g/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro - 256GB - Stormy Black (Unlocked) - Very Good Condition,$229.99,2025-08-10,https://www.ebay.com/itm/306436702937,https://i.ebayimg.com/images/g/T8wAAOSwllpnveak/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB (Unlocked) - Cloudy White,$189.98,2025-08-09,https://www.ebay.com/itm/316910915444,https://i.ebayimg.com/images/g/sKkAAeSwaBNo7aiu/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB 5G Unlocked - Very Good,$179.99,2025-08-04,https://www.ebay.com/itm/276807012756,https://i.ebayimg.com/images/g/OUIAAOSwRuxiFT4Q/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 512GB (Unlocked) - Stormy Black,$214.95,2025-08-04,https://www.ebay.com/itm/317027665042,https://i.ebayimg.com/images/g/CwgAAeSwe-dozuZI/s-l500.webp,512 GB,Unknown,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro 128GB Unlocked - Excellent,$208.95,2025-08-02,https://www.ebay.com/itm/388119797248,https://i.ebayimg.com/images/g/RzgAAOSw~rJlpVYW/s-l500.webp,128 GB,Excellent,False,Pixel 6 Pro,True
2,Google Pixel 6 Pro - 128GB - Stormy Black - Unlocked - Grade B+,$178.27,2025-07-31,https://www.ebay.com/itm/317124159968,https://i.ebayimg.com/images/g/zzQAAeSwhtJoh6Hl/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
