Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro
1,Apple iPhone 16 Pro 128GB Unlocked Good Condition - All Colors,$689.99,2025-10-17,https://www.ebay.com/itm/286609169200,https://i.ebayimg.com/images/g/oAQAAeSwHWxoOcTC/s-l140.webp,128 GB,Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Desert Titanium Unlocked Excellent Condition,$799.99,2025-10-17,https://www.ebay.com/itm/296856080582,https://i.ebayimg.com/images/g/FbsAAOSwZA1nTzdN/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 512GB Unlocked eSim Only White Titanium A3083 Excellent,$854.99,2025-10-17,https://www.ebay.com/itm/406271566761,https://i.ebayimg.com/images/g/vf4AAeSwln9o5i0v/s-l140.webp,512 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro - Unlocked - White Titanium - 128GB - Very Good,$699.00,2025-10-16,https://www.ebay.com/itm/277270151339,https://i.ebayimg.com/images/g/rHkAAOSwZstnBApP/s-l140.webp,128 GB,Very Good,False,iPhone 16 Pro,True
1,Unlocked Apple iPhone 16 Pro - 256GB - Black Titanium - MYMG3LL/A,$874.99,2025-03-17,https://www.ebay.com/itm/186898045063,https://i.ebayimg.com/images/g/DPsAAOSwq9loENSP/s-l140.webp,256 GB,Unknown,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 1TB Unlocked Excellent Condition - All Colors,$999.99,2025-10-16,https://www.ebay.com/itm/286251111026,https://i.ebayimg.com/images/g/asgAAOSwekNnfBXR/s-l140.webp,Unknown,Excellent,False,iPhone 16 Pro,True
1,"Apple iPhone 16 Pro, 1TB - 6.3"" - Fully Unlocked - Titanium Black - Excellent","$1,040.00",2025-10-16,https://www.ebay.com/itm/406269876629,https://i.ebayimg.com/images/g/1l0AAeSwg41o5Vkd/s-l140.webp,Unknown,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Black Titanium Unlocked Excellent Cond. 90%+ Battery,$849.99,2025-10-15,https://www.ebay.com/itm/277426446326,https://i.ebayimg.com/images/g/NKMAAeSwP6ho7Ref/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro - 128GB - White Titanium (Unlocked) - Very Good Condition,$719.99,2025-10-15,https://www.ebay.com/itm/306528008562,https://i.ebayimg.com/images/g/n8IAAeSw2zNo1jYF/s-l140.webp,128 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro - 128GB - White Titanium (Unlocked) - 90%+ Battery Very Good,$709.00,2025-10-15,https://www.ebay.com/itm/336224001002,https://i.ebayimg.com/images/g/~zkAAeSwb69o53LQ/s-l140.webp,128 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro A3083 Unlocked 512GB Desert Titanium Excellent,$989.99,2025-03-18,https://www.ebay.com/itm/176682952937,https://i.ebayimg.com/images/g/LFIAAOSwzqVnNq8V/s-l140.webp,512 GB,Excellent,False,iPhone 16 Pro,True
