Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_15_Pro
1,Apple iPhone 15 Pro 128GB 256GB 512GB 1TB Unlocked Smartphone - Very Good,$619.99,2025-10-13,https://www.ebay.com/itm/157380649997,https://i.ebayimg.com/images/g/M6wAAOSwaxpnyJHd/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro Smartphone 256GB Fully Unlocked Excellent,$689.00,2025-10-13,https://www.ebay.com/itm/226646633766,https://i.ebayimg.com/images/g/LosAAeSwAE9n1HBj/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB 256GB 512GB 1TB - All Colors - Excellent Condition,$604.00,2025-10-13,https://www.ebay.com/itm/276437121055,https://i.ebayimg.com/images/g/G4MAAOSwk2tmKCkf/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256GB (Altice) A2848-  Natural Titanium - Excellent,$529.00,2025-10-12,https://www.ebay.com/itm/187635249458,https://i.ebayimg.com/images/g/jWwAAeSwT25o3qVX/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 1024GB Unlocked 6.1"" (Black Titanium) A2848 - w/Warranty",$736.36,2025-10-12,https://www.ebay.com/itm/376412571180,https://i.ebayimg.com/images/g/u2gAAeSw4WVoeWpS/s-l500.webp,1024 GB,Unknown,False,iPhone 15 Pro,True
1,"iPhone 15 Pro (256GB, 8GB) 6.1"", iOS 17, 5G / 4G LTE Fully Unlocked",$659.99,2025-08-17,https://www.ebay.com/itm/157244291651,https://i.ebayimg.com/images/g/LbQAAeSwpI9o3mmV/s-l500.webp,256 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 1TB - White Titanium (Unlocked) - Very Good Condition,$799.99,2025-04-12,https://www.ebay.com/itm/306240221474,https://i.ebayimg.com/images/g/yK4AAOSw8ERn7UDo/s-l500.webp,Unknown,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256GB (XFINITY) A2848 - Blue Titanium - Excellent,$499.00,2025-10-10,https://www.ebay.com/itm/187635261978,https://i.ebayimg.com/images/g/znsAAeSw2zNo3ZGi/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 128GB 256GB 512GB 1TB Unlocked Smartphone - All Colors, Good",$629.99,2025-08-01,https://www.ebay.com/itm/156815542047,https://i.ebayimg.com/images/g/M6wAAOSwaxpnyJHd/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB 256GB 512GB 1TB Unlocked Smartphone - Very Good,$664.99,2025-09-03,https://www.ebay.com/itm/157291654479,https://i.ebayimg.com/images/g/M6wAAOSwaxpnyJHd/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256GB Unlocked eSim Only A2848 Natural Titanium Excellent,$664.95,2025-04-01,https://www.ebay.com/itm/405276389879,https://i.ebayimg.com/images/g/iIIAAOSw2G9nBoLp/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
