Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro_Max
1,Apple iPhone 16 Pro Max 512GB Unlocked eSim Only Black Titanium A3084 Excellent,$949.95,2025-10-13,https://www.ebay.com/itm/406273049455,https://i.ebayimg.com/images/g/s6sAAeSwSWlo5rkb/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Black Titanium - 256GB - Very Good,$885.00,2025-10-12,https://www.ebay.com/itm/286368007685,https://i.ebayimg.com/images/g/UaAAAOSw3rhm-t85/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - 1TB - Black Titanium (Unlocked) (eSIM Only) Very Good,$979.95,2025-10-12,https://www.ebay.com/itm/146862503860,https://i.ebayimg.com/images/g/mqEAAOSwi7VoHJ5f/s-l500.webp,Unknown,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - 256GB Black Titanium (Unlocked) A3296 - Good Condition,$889.99,2025-10-11,https://www.ebay.com/itm/306528059714,https://i.ebayimg.com/images/g/2pYAAOSw2epnQMyd/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Unlocked eSim Only Natural Titanium A3084 Very Good,$974.95,2025-10-11,https://www.ebay.com/itm/127405879048,https://i.ebayimg.com/images/g/te0AAeSwF-xo3Oea/s-l500.webp,Unknown,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Natural Titanium 256GB - Very Good,$885.00,2025-10-11,https://www.ebay.com/itm/276941511982,https://i.ebayimg.com/images/g/TZIAAOSwZQBm-t5t/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - White Titanium - 512GB - Good,$929.00,2025-10-10,https://www.ebay.com/itm/286826613989,https://i.ebayimg.com/images/g/7XYAAOSwPXNnLmrs/s-l500.webp,512 GB,Good,False,iPhone 16 Pro Max,True
1,"iPhone 16 Pro Max-256GB-A3084-Desert Titanium-Unlocked-""Very Good"" (B) Condition",$985.00,2025-07-25,https://www.ebay.com/itm/297484163866,https://i.ebayimg.com/images/g/Db8AAeSws5hocYys/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked Very Good Condition,$930.00,2025-10-10,https://www.ebay.com/itm/226982841078,https://i.ebayimg.com/images/g/jXcAAeSwbLBowzpC/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - 1TB - Black Titanium (Unlocked) (eSIM Only) Excellent,$984.95,2025-10-09,https://www.ebay.com/itm/127100039686,https://i.ebayimg.com/images/g/mqEAAOSwi7VoHJ5f/s-l500.webp,Unknown,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Unlocked eSim Only Natural Titanium A3084 Good,$974.99,2025-10-09,https://www.ebay.com/itm/146865980811,https://i.ebayimg.com/images/g/5SQAAeSw02Fo3Np~/s-l500.webp,Unknown,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 Unlocked 512GB Desert Titanium - Very Good,"$1,299.00",2025-10-09,https://www.ebay.com/itm/226794605121,https://i.ebayimg.com/images/g/JmQAAeSwBjVo5X3p/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Unlocked Very Good Condition - All Colors,"$1,069.99",2025-10-08,https://www.ebay.com/itm/276939098261,https://i.ebayimg.com/images/g/EqgAAeSwuIFn0HCv/s-l500.webp,Unknown,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Natural Titanium - 256GB - Good,$862.00,2025-10-08,https://www.ebay.com/itm/286282741510,https://i.ebayimg.com/images/g/TZIAAOSwZQBm-t5t/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB A3084 Natural Titanium Unlocked US Model Very Good,$945.00,2025-10-08,https://www.ebay.com/itm/297353668553,https://i.ebayimg.com/images/g/zsEAAeSwzoVo-NgA/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Natural Titanium Unlocked Excellent Condition,$909.99,2025-10-07,https://www.ebay.com/itm/276741750873,https://i.ebayimg.com/images/g/N5AAAOSwZvVnPjJ~/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Black Titanium Unlocked Excellent Condition,"$1,059.99",2025-10-07,https://www.ebay.com/itm/276765760854,https://i.ebayimg.com/images/g/cSwAAOSwsqBnTzbT/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,iPhone 16 Pro Max - 256GB - A3084 -White Titanium-Unlocked - Very Good Condition,$943.00,2025-10-07,https://www.ebay.com/itm/297639664394,https://i.ebayimg.com/images/g/YEkAAeSwFoZo1uSa/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
