Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S24
1,UNLOCKED - Samsung Galaxy S24 5G SM-S921U 128GB - All Colors - A GRADE,$385.99,2025-10-24,https://www.ebay.com/itm/145883567706,https://i.ebayimg.com/images/g/92UAAOSwrc5mZWcd/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ Plus 512GB Unlocked ATT T-Mobile Verizon Very Good Condition,$484.95,2025-10-24,https://www.ebay.com/itm/297145720573,https://i.ebayimg.com/images/g/3qoAAOSwITxn4cE8/s-l500.webp,512 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U1 128GB GRAPHITE GRAY MINT 5G UNLOCKED,$349.00,2025-10-24,https://www.ebay.com/itm/146658463977,https://i.ebayimg.com/images/g/U0EAAOSwCm9nsKnt/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U Unlocked 256GB Graphite Excellent,$379.99,2025-10-24,https://www.ebay.com/itm/197773190965,https://i.ebayimg.com/images/g/cEsAAeSwY~Fo7rh~/s-l500.webp,256 GB,Excellent,False,Galaxy S24,True
1,"Samsung Galaxy S24 FE 5G (256GB, 8GB) 6.7"" Factory Unlocked US & Global S721B/DS",$399.99,2025-10-24,https://www.ebay.com/itm/136558961844,https://i.ebayimg.com/images/g/7X4AAeSwdCto8Bsw/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 256GB S921U Unlocked - Very Good,$396.99,2025-10-24,https://www.ebay.com/itm/256880905663,https://i.ebayimg.com/images/g/~2wAAeSwd2RoMLPL/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$324.95,2025-10-23,https://www.ebay.com/itm/297168195806,https://i.ebayimg.com/images/g/b6MAAOSwvb1n6-kZ/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G Black Unlocked #L627,$384.00,2025-10-23,https://www.ebay.com/itm/116840373931,https://i.ebayimg.com/images/g/MvIAAeSww2Bo-Spf/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G Black Unlocked #L657,$399.00,2025-10-23,https://www.ebay.com/itm/127446816013,https://i.ebayimg.com/images/g/XRcAAeSwQRBo-RfE/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE 128GB S721U Unlocked - Good,$270.99,2025-10-23,https://www.ebay.com/itm/257031013330,https://i.ebayimg.com/images/g/1ZsAAeSwaXRogOHc/s-l500.webp,128 GB,Good,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U Unlocked 128GB Onyx Black Very Good,$339.99,2025-10-23,https://www.ebay.com/itm/176516208461,https://i.ebayimg.com/images/g/aLQAAOSwDmxmtve4/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,UNLOCKED - Samsung Galaxy S24+ Plus 5G SM-S926U - 256GB - All Colors - VERY GOOD,$484.99,2025-10-23,https://www.ebay.com/itm/145864257021,https://i.ebayimg.com/images/g/NPIAAOSwU4ZnIyX6/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 (5G) - SM-S921B/DS Dual-SIM - Global GSM - 128GB Marble Gray,$309.99,2025-10-23,https://www.ebay.com/itm/146910743601,https://i.ebayimg.com/images/g/Um8AAeSw7QZo98ZT/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,"SAMSUNG Galaxy S24 FE 5G (256GB, 8GB) 6.7"" Factory Unlocked US & Global S721B/DS",$399.99,2025-10-23,https://www.ebay.com/itm/156815605551,https://i.ebayimg.com/images/g/ZLAAAeSwp3to-VcO/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ 512GB S926U Unlocked - Very Good,$549.99,2025-10-23,https://www.ebay.com/itm/256939541850,https://i.ebayimg.com/images/g/rWQAAeSwD1FoXEUX/s-l500.webp,512 GB,Very Good,False,Galaxy S24,True
