Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro
1,Google Pixel 9 Pro Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.,$569.95,2025-10-15,https://www.ebay.com/itm/306047716833,https://i.ebayimg.com/images/g/LBsAAOSwg6lneFcK/s-l140.webp,Unknown,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Porcelain Unlocked Excellent Condition,$559.99,2025-10-15,https://www.ebay.com/itm/277074099658,https://i.ebayimg.com/images/g/La4AAeSwlXdo5~kn/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - Unlocked - Porcelain - 512GB - Good,$969.00,2025-10-15,https://www.ebay.com/itm/286763880767,https://i.ebayimg.com/images/g/jrgAAOSwCv5nr8CL/s-l140.webp,512 GB,Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - Unlocked - Obsidian - 256GB - Excellent,$879.00,2025-10-14,https://www.ebay.com/itm/277204265728,https://i.ebayimg.com/images/g/29oAAOSwo4Fnh9N~/s-l140.webp,256 GB,Excellent,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Fold 256GB Unlocked Obsidian Black 48MP 6.3"" 2024 WiFi",$799.99,2025-10-14,https://www.ebay.com/itm/197727957835,https://i.ebayimg.com/images/g/HvwAAOSw9x9nP4bZ/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold 512GB Obsidian Black - Factory Unlocked - Very Good,$949.99,2025-10-13,https://www.ebay.com/itm/205756099790,https://i.ebayimg.com/images/g/k4kAAOSwl4Fn7AMF/s-l140.webp,512 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 512GB - Porcelain (Unlocked) - Very Good Condition,$939.99,2025-10-13,https://www.ebay.com/itm/306530174440,https://i.ebayimg.com/images/g/kIoAAeSwPcxo1sSF/s-l140.webp,512 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold 256GB Obsidian Unlocked Very Good Condition,$829.99,2025-10-13,https://www.ebay.com/itm/276811869972,https://i.ebayimg.com/images/g/2zwAAOSwbWJnK5fK/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Fold 256GB Unlocked Obsidian Black 48MP 6.3"" 2024 WiFi",$834.99,2025-10-12,https://www.ebay.com/itm/205747799746,https://i.ebayimg.com/images/g/HvwAAOSw9x9nP4bZ/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro - 256 GB - Porcelain (Unlocked) GR83Y Excellent,$614.95,2025-10-11,https://www.ebay.com/itm/406239261519,https://i.ebayimg.com/images/g/sW0AAeSwh5Vo090J/s-l140.webp,256 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256GB Hazel Unlocked Excellent Condition,$709.99,2025-10-11,https://www.ebay.com/itm/297127241830,https://i.ebayimg.com/images/g/gLYAAeSwpgJn20Ay/s-l140.webp,256 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256GB Porcelain Unlocked Excellent Condition,$684.99,2025-10-11,https://www.ebay.com/itm/277095852640,https://i.ebayimg.com/images/g/LugAAeSw0pJo7pfx/s-l140.webp,256 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro GR83Y 128GB Unlocked Excellent Condition,$647.47,2025-10-10,https://www.ebay.com/itm/357604250747,https://i.ebayimg.com/images/g/MlMAAeSwMSFowvR1/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro 128GB Unlocked 6.3"" 5G Dual SIM Hazel Gray GA05935-US",$554.99,2025-10-09,https://www.ebay.com/itm/197637005886,https://i.ebayimg.com/images/g/2jEAAOSwj11nKT1x/s-l140.webp,128 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold 512GB Unlocked Phone Obsidian - UK Model - GOOD B+,$894.84,2025-10-08,https://www.ebay.com/itm/406109157594,https://i.ebayimg.com/images/g/vD0AAOSw5tNn~7d4/s-l140.webp,512 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro - Unlocked - Porcelain - 256GB - Good,$699.00,2025-04-08,https://www.ebay.com/itm/277015396223,https://i.ebayimg.com/images/g/oSkAAOSw52Fn9D9W/s-l140.webp,256 GB,Good,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro 5G 6.3""  Fully Unlocked (Any Carrier) SmartPhone 128GB Good",$494.99,2025-10-07,https://www.ebay.com/itm/197594039083,https://i.ebayimg.com/images/g/K7YAAOSwMiBoWcl5/s-l140.webp,128 GB,Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 256GB - Obsidian (Unlocked) / Very Good Condition,$839.99,2025-10-05,https://www.ebay.com/itm/306454276896,https://i.ebayimg.com/images/g/-wcAAOSw5gBn5E4u/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro - GR83Y - Unlocked - 128GB Obsidian Black  - Excellent,$604.99,2025-10-03,https://www.ebay.com/itm/146862417088,https://i.ebayimg.com/images/g/bLcAAeSwryFoa~m5/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 256GB - Obsidian (Unlocked) - Very Good Condition,$819.99,2025-10-03,https://www.ebay.com/itm/306514969491,https://i.ebayimg.com/images/g/-wcAAOSw5gBn5E4u/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 256GB/ - Obsidian (Unlocked) - Very Good Condition,$819.99,2025-10-03,https://www.ebay.com/itm/306473239580,https://i.ebayimg.com/images/g/-wcAAOSw5gBn5E4u/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256GB Unlocked - White / Porcelain - Very Good + More,$679.99,2025-09-21,https://www.ebay.com/itm/326774850087,https://i.ebayimg.com/images/g/gBYAAOSwpCZnvzYG/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
