Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_7
1,"Google Pixel 7 5G 6.3""  Fully Unlocked (Any Carrier) SmartPhone Good",$164.99,2025-10-05,https://www.ebay.com/itm/235529349399,https://i.ebayimg.com/images/g/ZZYAAOSw7ERlCMWK/s-l500.webp,Unknown,Good,False,Pixel 7,True
1,Google Pixel 7 - 128GB - Lemongrass (Unlocked) - Good Condition,$168.20,2025-10-05,https://www.ebay.com/itm/306483116583,https://i.ebayimg.com/images/g/fkkAAeSwIvRotE2H/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 GQML3 128GB 6.3'' Black White Green Factory Unlocked - Excellent,$208.99,2025-10-05,https://www.ebay.com/itm/145301706813,https://i.ebayimg.com/images/g/tzsAAOSwyHplBBkc/s-l500.webp,128 GB,Excellent,False,Pixel 7,True
1,Google Pixel 7 - 128GB - Black Obsidian - Factory Unlocked - Very Good + More,$179.99,2025-10-03,https://www.ebay.com/itm/326801350276,https://i.ebayimg.com/images/g/PSYAAOSwRWBnYaxw/s-l500.webp,128 GB,Very Good,False,Pixel 7,True
1,Google Pixel 7 - 128GB - White Snow - Factory Unlocked - Good + More,$164.99,2025-09-26,https://www.ebay.com/itm/197725803730,https://i.ebayimg.com/images/g/IsYAAeSw0B9owFWN/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 256GB Unlocked GA04528-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$204.99,2025-03-31,https://www.ebay.com/itm/196856192538,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,256 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 GVU6C Unlocked 128GB Lemongrass Good,$164.27,2025-09-27,https://www.ebay.com/itm/186586408565,https://i.ebayimg.com/images/g/~J0AAOSwsWRmn9Z4/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 G03Z5 Unlocked 128GB Lemongrass Good,$159.94,2025-09-23,https://www.ebay.com/itm/177432377513,https://i.ebayimg.com/images/g/0RQAAeSwqLlo0bmx/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 128GB Obsidian Unlocked Good Condition,$179.99,2025-09-22,https://www.ebay.com/itm/295538533249,https://i.ebayimg.com/images/g/STYAAOSwy1pk0SQt/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 - 128GB - Obsidian (Unlocked) - Very Good Condition,$193.99,2025-09-22,https://www.ebay.com/itm/306492584750,https://i.ebayimg.com/images/g/n58AAOSwrbJnvZ7w/s-l500.webp,128 GB,Very Good,False,Pixel 7,True
