Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9
1,Google Pixel 9 G2YBB 128GB Obsidian Unlocked Very Good Condition,$439.99,2025-09-10,https://www.ebay.com/itm/356849343099,https://i.ebayimg.com/images/g/7YAAAeSwo9ZoE94T/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
1,Google Pixel 9 G2YBB 128GB Obsidian Unlocked Good Condition,$432.48,2025-08-20,https://www.ebay.com/itm/356849461452,https://i.ebayimg.com/images/g/9-8AAeSwt~loE-9K/s-l500.webp,128 GB,Good,False,Pixel 9,True
2,Google Pixel 9 128GB - Wintergreen Green - Unlocked - Very Good + More,$469.99,2025-09-01,https://www.ebay.com/itm/205696993741,https://i.ebayimg.com/images/g/IFwAAOSw~eVn7Et2/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
2,Google Pixel 9 256GB - Black Obsidian - Network Unlocked - Very Good + More,$529.99,2025-09-08,https://www.ebay.com/itm/326749395806,https://i.ebayimg.com/images/g/QZYAAOSwtY5n~WWf/s-l500.webp,256 GB,Very Good,False,Pixel 9,True
2,Google Pixel 9 - Unlocked - Porcelain - 128GB - Excellent,$474.00,2025-09-06,https://www.ebay.com/itm/277040488334,https://i.ebayimg.com/images/g/CCMAAOSwpURn~9s~/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
2,Google Pixel 9 128GB Obsidian Unlocked Good Condition,$399.99,2025-09-04,https://www.ebay.com/itm/276936012392,https://i.ebayimg.com/images/g/MzQAAeSwSoBnzwzP/s-l500.webp,128 GB,Good,False,Pixel 9,True
2,Google Pixel 9 - 128GB - Obsidian - (Carrier Unlocked) B-Stock,$449.98,2025-09-04,https://www.ebay.com/itm/156587831402,https://i.ebayimg.com/images/g/O-IAAOSw-fZnN6oo/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,Google Pixel 9 128GB Peony Unlocked Very Good Condition,$479.99,2025-09-01,https://www.ebay.com/itm/297527073010,https://i.ebayimg.com/images/g/xdoAAeSwfI9o0vU8/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
2,Google Pixel 9 256GB Obsidian Unlocked Very Good Condition,$559.99,2025-08-30,https://www.ebay.com/itm/297443981074,https://i.ebayimg.com/images/g/QRYAAeSwhJho7ptU/s-l500.webp,256 GB,Very Good,False,Pixel 9,True
2,"Google Pixel 9 128GB Unlocked 6.3"" 5G Dual SIM Obsidian Black GA05226-US",$429.99,2025-08-29,https://www.ebay.com/itm/326414725775,https://i.ebayimg.com/images/g/GLMAAOSwm6RnI78q/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,Google Pixel 9 128GB Porcelain Unlocked Very Good Condition,$539.99,2025-08-29,https://www.ebay.com/itm/297288389707,https://i.ebayimg.com/images/g/uTgAAeSwqNloyrn4/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
2,Google Pixel 9- 9 Pro- 9 Pro XL - 128/256 GB- T-Mobile/AT&T/Unlocked - EXCELLENT,$499.99,2025-08-28,https://www.ebay.com/itm/176940657969,https://i.ebayimg.com/images/g/fCcAAOSw9eln3Mr9/s-l500.webp,256 GB,Unknown,False,Pixel 9,True
2,Google Pixel 9 256GB - Peony -Unlocked- Excellent Refurbished,$612.99,2025-08-26,https://www.ebay.com/itm/226908645077,https://i.ebayimg.com/images/g/z1QAAeSwbrdolNI0/s-l500.webp,256 GB,Excellent,False,Pixel 9,True
2,📱 Google Pixel 9 G2YBB 128GB Peony 🌸 ✅FACTORY UNLOCKED 🔓 1 YEAR WARRANTY VGRB,$429.95,2025-08-23,https://www.ebay.com/itm/177348045963,https://i.ebayimg.com/images/g/Ep0AAOSwe1pnM8zL/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,Google Pixel 9 256GB  Peony -Unlocked - Very Good Refurbished,$574.99,2025-08-22,https://www.ebay.com/itm/226865667156,https://i.ebayimg.com/images/g/lvMAAeSwYNZodQO5/s-l500.webp,256 GB,Very Good,False,Pixel 9,True
2,Google Pixel 9 - 128GB - Green - (Carrier Unlocked) B-Stock,$449.98,2025-08-20,https://www.ebay.com/itm/156772603011,https://i.ebayimg.com/images/g/DNMAAOSwaulny1q4/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,Google Pixel 9 128GB Unlocked Obsidian G2YBB Very Good,$454.95,2025-08-18,https://www.ebay.com/itm/146319641565,https://i.ebayimg.com/images/g/MOAAAOSw7WVnfRkT/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
2,"Google Pixel 9 G2YBB 6.3"" 12GB RAM 128GB Storage Obsidian | Unlocked | Excellent",$447.99,2025-08-16,https://www.ebay.com/itm/388749551285,https://i.ebayimg.com/images/g/gW4AAeSwjvJogW69/s-l500.webp,12 GB,Excellent,False,Pixel 9,True
2,Google Pixel 9 - 128GB (Unlocked) - Wintergreen,$527.16,2025-08-14,https://www.ebay.com/itm/365784369167,https://i.ebayimg.com/images/g/nfwAAeSwcH5onSJy/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,Excellent Google Pixel 9 128GB - Network Unlocked - Green / Wintergreen + More,$509.99,2025-07-31,https://www.ebay.com/itm/197578234398,https://i.ebayimg.com/images/g/VmUAAeSwFgZoZri~/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
2,Google Pixel 9 128GB - Wintergreen Green - Unlocked - Good + More,$429.99,2025-08-07,https://www.ebay.com/itm/326722098576,https://i.ebayimg.com/images/g/IFwAAOSw~eVn7Et2/s-l500.webp,128 GB,Good,False,Pixel 9,True
2,Google Pixel 9 - 9 Pro - 9 Pro XL - 128/256 GB - T-Mobile/AT&T/Unlocked - Good,$429.99,2025-08-08,https://www.ebay.com/itm/176940609484,https://i.ebayimg.com/images/g/fCcAAOSw9eln3Mr9/s-l500.webp,256 GB,Good,False,Pixel 9,True
2,Google Pixel 9 - 128GB (Unlocked) - Peony,$449.98,2025-08-05,https://www.ebay.com/itm/365780048048,https://i.ebayimg.com/images/g/gZsAAeSwXbRokmsH/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,Google Pixel 9 256GB Wintergreen Unlocked Good Condition,$559.99,2025-07-31,https://www.ebay.com/itm/286737074853,https://i.ebayimg.com/images/g/ie0AAeSwWu1o1YUm/s-l500.webp,256 GB,Good,False,Pixel 9,True
2,"Google Pixel 9 128GB Unlocked 6.3"" 5G Dual SIM Peony Pink GA05841-US",$459.99,2025-07-30,https://www.ebay.com/itm/326572570924,https://i.ebayimg.com/images/g/rTkAAOSwmhZnKPvr/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
2,"Google Pixel 9 5G 256GB 6.3""  Fully Unlocked (Any Carrier) SmartPhone Very Good",$454.99,2025-07-25,https://www.ebay.com/itm/356923990858,https://i.ebayimg.com/images/g/q6cAAOSw9w9n-A~Q/s-l500.webp,256 GB,Very Good,False,Pixel 9,True
