Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra
1,Samsung Galaxy S22 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$167.95,2025-10-24,https://www.ebay.com/itm/306199694505,https://i.ebayimg.com/images/g/Un8AAOSw2Ipn4dPr/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,167.95,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U1 128GB 256GB Unlocked Very Good,$164.99,2025-10-23,https://www.ebay.com/itm/186372216016,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,164.99,,,,,,,,
1,Samsung Galaxy S22 Black 256GB Good - Refurbished  - Unlocked,$175.99,2025-09-06,https://www.ebay.com/itm/127199726781,https://i.ebayimg.com/images/g/mEwAAeSwj8Vo9S3D/s-l500.webp,256 GB,Good,False,Galaxy S22,True,,,,2025.0,9.0,175.99,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U1 256GB Unlocked AT&T T-Mobile Very Good Refurbish,$187.99,2025-10-23,https://www.ebay.com/itm/205349317792,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,187.99,,,,,,,,
1,Samsung Galaxy S22 S901 128GB Unlocked - Good,$149.95,2025-10-23,https://www.ebay.com/itm/365290398310,https://i.ebayimg.com/images/g/u-AAAOSw46tlFYbZ/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,149.95,,,,,,,,
1,Samsung Galaxy S22 SM-S901U 5G - 128GB Unlocked Smartphone - Good Condition,$143.99,2025-10-22,https://www.ebay.com/itm/195449177206,https://i.ebayimg.com/images/g/lGcAAOSwbgxjYuVQ/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,143.99,,,,,,,,
1,Samsung Galaxy S22 Green 128GB Very Good - Refurbished  - Unlocked,$161.99,2025-10-22,https://www.ebay.com/itm/127257209729,https://i.ebayimg.com/images/g/REUAAeSwbIppAPhW/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,161.99,,,,,,,,
1,"SAMSUNG Galaxy S22 5G (128GB, 8GB) 6.1"" Fully Unlocked (GSM+Verizon) S901U1",$160.99,2025-03-05,https://www.ebay.com/itm/145850790526,https://i.ebayimg.com/images/g/INoAAeSwuOtotgBh/s-l500.webp,128 GB,Unknown,False,Galaxy S22,True,,,,2025.0,3.0,160.99,,,,,,,,
1,"SAMSUNG Galaxy S22 5G (128GB, 8GB) 6.1"" Factory Unlocked (GSM + Verizon) S901U1",$169.99,2025-07-31,https://www.ebay.com/itm/145850739174,https://i.ebayimg.com/images/g/WNUAAeSwXLRosJ3d/s-l500.webp,128 GB,Unknown,False,Galaxy S22,True,,,,2025.0,7.0,169.99,,,,,,,,
1,Samsung Galaxy S22 5G - 128GB  - Unlocked - Excellent Refurbished - All Colors,$250.00,2025-04-05,https://www.ebay.com/itm/156375281666,https://i.ebayimg.com/images/g/BAwAAOSwB9xmzJDI/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,4.0,250.0,,,,,,,,
1,Samsung Galaxy S22 (5G) 256GB Black *UNLOCKED* [SM-S901U] Very Good Refurbished,$186.99,2025-10-21,https://www.ebay.com/itm/146051670131,https://i.ebayimg.com/images/g/gMoAAOSwfrpmw5M~/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,186.99,,,,,,,,
