Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro
2,Apple iPhone 12 Pro 128 GB - Blue - Factory Unlocked (CDMA + GSM) Very Good,$269.85,2024-12-16,https://www.ebay.com/itm/176574480013,https://i.ebayimg.com/images/g/wsEAAOSwcGFm5H-5/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro Smartphone A2341 128GB Unlocked Excellent,$340.00,2025-10-13,https://www.ebay.com/itm/226582278487,https://i.ebayimg.com/images/g/-0oAAeSweJlnooq8/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 128GB  A2341 (Unlocked) All Colors ~ Very Good Condition!,$278.99,2025-10-13,https://www.ebay.com/itm/226896597359,https://i.ebayimg.com/images/g/Dw8AAeSwuQBoi6Wv/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 512GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$284.95,2025-10-13,https://www.ebay.com/itm/304185295612,https://i.ebayimg.com/images/g/6UIAAOSwgfJlDbug/s-l500.webp,512 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 512GB - Gold - Factory Unlocked - USED,$269.85,2025-03-30,https://www.ebay.com/itm/176572670067,https://i.ebayimg.com/images/g/h9AAAOSwxixm4wSY/s-l500.webp,512 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 128GB Pacific Blue Factory Unlocked - GOOD Condition,$259.99,2025-03-30,https://www.ebay.com/itm/176841930253,https://i.ebayimg.com/images/g/F2oAAeSwscJnrQQf/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 512GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$317.95,2025-10-12,https://www.ebay.com/itm/304221769488,https://i.ebayimg.com/images/g/vM4AAOSwgjZlDbwF/s-l500.webp,512 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 256GB - Blue - Fully Unlocked 5G - Good,$329.99,2025-01-25,https://www.ebay.com/itm/267094886435,https://i.ebayimg.com/images/g/xbkAAOSwAmFnNR0f/s-l500.webp,256 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro A2341 Unlocked 128GB Silver Very Good,$314.99,2024-12-07,https://www.ebay.com/itm/196802201775,https://i.ebayimg.com/images/g/80MAAOSwCNNnMlPy/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro A2341 128GB Unlocked Very Good Condition,$227.75,2025-10-10,https://www.ebay.com/itm/354393181000,https://i.ebayimg.com/images/g/0nQAAOSwKFNjco8W/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128 GB Silver Unlocked (All Carriers) Premium Condition,$389.99,2024-10-11,https://www.ebay.com/itm/285853131674,https://i.ebayimg.com/images/g/KR8AAOSwHX9nQN~d/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 5G 128GB 256GB 512GB Fully Unlocked LTE Smartphone Grade A+,$339.99,2025-10-09,https://www.ebay.com/itm/294042036680,https://i.ebayimg.com/images/g/gLQAAOSwtYNf28h1/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro A2341 256GB Unlocked Good Condition,$277.48,2025-10-09,https://www.ebay.com/itm/354519904238,https://i.ebayimg.com/images/g/SjgAAOSwE2JjcogO/s-l500.webp,256 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB Unlocked - Very Good,$274.99,2025-10-09,https://www.ebay.com/itm/256288496820,https://i.ebayimg.com/images/g/gxEAAeSwitNoL7o2/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB A2341 Unlocked AT&T Verizon T-Mobile Very Good Refurb,$280.99,2025-10-09,https://www.ebay.com/itm/187036165413,https://i.ebayimg.com/images/g/AM0AAOSwqNhn0K1b/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,APPLE IPHONE 12 PRO 256GB SILVER - MGK63LL/A-SILVER - UNLOCKED - SILVER,$189.00,2025-10-08,https://www.ebay.com/itm/157196237001,https://i.ebayimg.com/images/g/808AAeSwhjdo5re0/s-l500.webp,256 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 128GB - Factory Unlocked - Excellent Condition,$499.99,2025-10-08,https://www.ebay.com/itm/114992117420,https://i.ebayimg.com/images/g/tXQAAOSwJvxhQfcB/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 256GB Unlocked Excellent Condition,$310.12,2025-10-07,https://www.ebay.com/itm/354393361207,https://i.ebayimg.com/images/g/dM0AAOSwyn9jcrKs/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 128GB - Fully Unlocked (2020),$284.97,2025-10-07,https://www.ebay.com/itm/135512461631,https://i.ebayimg.com/images/g/1~EAAOSwqkpnkUzp/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB Factory Unlocked Pacific Blue MGK43LL/A iOS Smarphone,$289.00,2025-10-06,https://www.ebay.com/itm/336174154696,https://i.ebayimg.com/images/g/Na8AAeSwFpVow5ms/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB - Fully Unlocked - Excellent Condition!!!!!,$279.99,2025-10-06,https://www.ebay.com/itm/226214964962,https://i.ebayimg.com/images/g/yIwAAOSw49BljKd3/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro  6.1in 256GB Fully Unlocked - Excellent,$357.00,2025-10-05,https://www.ebay.com/itm/144841742547,https://i.ebayimg.com/images/g/xaYAAeSwJDJopjjE/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 256GB A2341 Unlocked AT&T Verizon T-Mobile Very Good Refurb,$290.99,2025-10-05,https://www.ebay.com/itm/356656166397,https://i.ebayimg.com/images/g/x54AAOSwy55n0Ld7/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,"Apple iPhone 12 Pro 512GB 6.1"", Pacific Blue",$309.99,2025-10-03,https://www.ebay.com/itm/388960836645,https://i.ebayimg.com/images/g/m-EAAeSwMthoxKpN/s-l500.webp,512 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro Blue 256GB Very Good - Refurbished  - Unlocked,$275.99,2025-10-03,https://www.ebay.com/itm/127313933729,https://i.ebayimg.com/images/g/5QkAAeSw2h5o4DNJ/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 256GB Unlocked Very Good Condition - All Colors,$299.99,2025-10-02,https://www.ebay.com/itm/276217816443,https://i.ebayimg.com/images/g/ddMAAOSwk91lczDO/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro A2341 128GB Unlocked Very Good Condition,$305.49,2025-09-30,https://www.ebay.com/itm/354521087454,https://i.ebayimg.com/images/g/YJcAAOSwci9jcqq8/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB A2341 Unlocked AT&T Verizon T-Mobile Excellent Refurb,$295.99,2025-09-29,https://www.ebay.com/itm/356656107197,https://i.ebayimg.com/images/g/AM0AAOSwqNhn0K1b/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128GB Unlocked Excellent Condition - All Colors,$309.99,2025-09-28,https://www.ebay.com/itm/285598067513,https://i.ebayimg.com/images/g/qBsAAOSwto5lczBk/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
