Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6,Pixel_7,Pixel_8,Pixel_9,Pixel_10,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra,iPhone_12_Pro_Max,iPhone_13_Pro_Max,iPhone_14_Pro_Max,iPhone_15_Pro_Max,iPhone_16_Pro_Max,iPhone_17_Pro_Max,iPhone_12,iPhone_13,iPhone_14,iPhone_15,iPhone_16,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Pixel_6_Pro,Pixel_7_Pro,Pixel_8_Pro,Pixel_9_Pro,Pixel_9_Pro_XL,Pixel_10_Pro,Pixel_10_Pro_XL
1,Google Pixel 7 128GB - VARIOUS COLOR - UNLOCKED - Grade B+ CONDITION !!,$178.64,2025-10-15,https://www.ebay.com/itm/315902247541,https://i.ebayimg.com/images/g/GoUAAOSwfM5nIV2~/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,178.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Unlocked GA03923-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$179.99,2025-10-14,https://www.ebay.com/itm/326808304979,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7 128GB Unlocked GA03943-US 6.3"" 50MP WiFi NFC 5G LTE Lemongrass",$179.99,2025-10-13,https://www.ebay.com/itm/205771976979,https://i.ebayimg.com/images/g/4o0AAOSwETxj0sth/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 CARRIER UNLOCKED & OEM UNLOCKED -128GB/256GB🔒EXCELLENT CONDITION,$229.99,2025-10-13,https://www.ebay.com/itm/127340186197,https://i.ebayimg.com/images/g/WxQAAOSw4X9oLzZ7/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,229.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 - Unlocked - Very Good Condition (1Year Warranty),$199.53,2025-10-12,https://www.ebay.com/itm/167848737332,https://i.ebayimg.com/images/g/wncAAOSwcBRoCNAN/s-l500.webp,Unknown,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,199.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 - 256GB - Black Obsidian - Factory Unlocked - Very Good + More,$194.99,2025-10-12,https://www.ebay.com/itm/326810202876,https://i.ebayimg.com/images/g/PSYAAOSwRWBnYaxw/s-l500.webp,256 GB,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,194.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Unlocked GA03923-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$164.99,2025-10-12,https://www.ebay.com/itm/197701907162,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,164.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 5G 128GB - Lemongrass Obsidian Snow - Unlocked - Excellent,$206.99,2025-03-16,https://www.ebay.com/itm/196389712854,https://i.ebayimg.com/images/g/ZWMAAOSw3aplRIOH/s-l500.webp,128 GB,Excellent,False,Pixel 7,,True,,,,,,,,2025,March,206.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 Unlocked 128gb/256gb All Colors/Memory 🔒EXCELLENT CONDITION💯,$199.98,2025-10-10,https://www.ebay.com/itm/127128423144,https://i.ebayimg.com/images/g/WxQAAOSw4X9oLzZ7/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,199.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 256GB Unlocked GA04528-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$209.99,2025-07-04,https://www.ebay.com/itm/196999078401,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,256 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,July,209.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GVU6C Unlocked 128GB Obsidian Good,$169.99,2025-10-08,https://www.ebay.com/itm/196518512304,https://i.ebayimg.com/images/g/pWMAAOSw4Slmn9XY/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,169.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 6.3-inch OLED display with 90Hz refresh rate,$269.95,2025-10-08,https://www.ebay.com/itm/305967107850,https://i.ebayimg.com/images/g/DwQAAOSw-cdngVwr/s-l500.webp,Unknown,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,269.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7 128GB Unlocked GA03943-US 6.3"" 50MP WiFi NFC 5G LTE Lemongrass",$184.99,2025-09-04,https://www.ebay.com/itm/196729296643,https://i.ebayimg.com/images/g/4o0AAOSwETxj0sth/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,September,184.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Unlocked GA03923-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$184.99,2025-09-25,https://www.ebay.com/itm/205046998002,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,September,184.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 Dual Sim 128GB 8GB Unlocked Black Good Condition,$176.04,2025-10-06,https://www.ebay.com/itm/406189424873,https://i.ebayimg.com/images/g/lBcAAeSwCZhoqrfM/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,176.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7 5G 6.3""  Fully Unlocked (Any Carrier) SmartPhone Good",$164.99,2025-10-05,https://www.ebay.com/itm/235529349399,https://i.ebayimg.com/images/g/ZZYAAOSw7ERlCMWK/s-l500.webp,Unknown,Good,False,Pixel 7,,True,,,,,,,,2025,October,164.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 - 128GB - Lemongrass (Unlocked) - Good Condition,$168.20,2025-10-05,https://www.ebay.com/itm/306483116583,https://i.ebayimg.com/images/g/fkkAAeSwIvRotE2H/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,168.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GQML3 128GB 6.3'' Black White Green Factory Unlocked - Excellent,$208.99,2025-10-05,https://www.ebay.com/itm/145301706813,https://i.ebayimg.com/images/g/tzsAAOSwyHplBBkc/s-l500.webp,128 GB,Excellent,False,Pixel 7,,True,,,,,,,,2025,October,208.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 - 128GB - Black Obsidian - Factory Unlocked - Very Good + More,$179.99,2025-10-03,https://www.ebay.com/itm/326801350276,https://i.ebayimg.com/images/g/PSYAAOSwRWBnYaxw/s-l500.webp,128 GB,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 - 128GB - White Snow - Factory Unlocked - Good + More,$164.99,2025-09-26,https://www.ebay.com/itm/197725803730,https://i.ebayimg.com/images/g/IsYAAeSw0B9owFWN/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,September,164.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 256GB Unlocked GA04528-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$204.99,2025-03-31,https://www.ebay.com/itm/196856192538,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,256 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,March,204.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GVU6C Unlocked 128GB Lemongrass Good,$164.27,2025-09-27,https://www.ebay.com/itm/186586408565,https://i.ebayimg.com/images/g/~J0AAOSwsWRmn9Z4/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,September,164.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 G03Z5 Unlocked 128GB Lemongrass Good,$159.94,2025-09-23,https://www.ebay.com/itm/177432377513,https://i.ebayimg.com/images/g/0RQAAeSwqLlo0bmx/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,September,159.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Obsidian Unlocked Good Condition,$179.99,2025-09-22,https://www.ebay.com/itm/295538533249,https://i.ebayimg.com/images/g/STYAAOSwy1pk0SQt/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,September,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
